Date;Close;;;K1;;K2;;K3;;K4;;K5
09/01/2014;14100;;09/01/2014;14100;30/03/2015;13550;29/06/2016;9175;13/09/2017;10600;07/11/2018;9725
10/01/2014;14900;;10/01/2014;14900;31/03/2015;13650;30/06/2016;9350;14/09/2017;10500;08/11/2018;9825
13/01/2014;15525;;13/01/2014;15525;01/04/2015;13650;01/07/2016;9250;15/09/2017;10375;09/11/2018;9725
15/01/2014;15675;;15/01/2014;15675;02/04/2015;13600;11/07/2016;9675;18/09/2017;10000;12/11/2018;9150
16/01/2014;15200;;16/01/2014;15200;06/04/2015;13625;12/07/2016;9825;19/09/2017;9950;13/11/2018;9150
17/01/2014;15200;;17/01/2014;15200;07/04/2015;13675;13/07/2016;9525;20/09/2017;10100;14/11/2018;10000
20/01/2014;15075;;20/01/2014;15075;08/04/2015;13475;14/07/2016;9275;21/09/2017;10100;15/11/2018;10300
21/01/2014;14975;;21/01/2014;14975;09/04/2015;13550;15/07/2016;9050;22/09/2017;10000;16/11/2018;11000
22/01/2014;14675;;22/01/2014;14675;10/04/2015;13425;18/07/2016;8975;25/09/2017;9950;19/11/2018;11100
23/01/2014;14900;;23/01/2014;14900;13/04/2015;13000;19/07/2016;9525;26/09/2017;9900;20/11/2018;11100
24/01/2014;14550;;24/01/2014;14550;14/04/2015;12850;20/07/2016;9500;27/09/2017;9625;21/11/2018;11150
27/01/2014;13975;;27/01/2014;13975;15/04/2015;13125;21/07/2016;9425;28/09/2017;9950;22/11/2018;11875
28/01/2014;14000;;28/01/2014;14000;16/04/2015;13700;22/07/2016;9300;29/09/2017;10125;23/11/2018;11525
29/01/2014;14400;;29/01/2014;14400;17/04/2015;13800;25/07/2016;9400;02/10/2017;10200;26/11/2018;11650
30/01/2014;14200;;30/01/2014;14200;20/04/2015;13750;26/07/2016;9500;03/10/2017;10050;27/11/2018;11250
03/02/2014;14000;;03/02/2014;14000;21/04/2015;13825;27/07/2016;9700;04/10/2017;10300;28/11/2018;11175
04/02/2014;13875;;04/02/2014;13875;22/04/2015;13700;28/07/2016;9675;05/10/2017;10375;29/11/2018;12000
05/02/2014;14425;;05/02/2014;14425;23/04/2015;13550;29/07/2016;9375;06/10/2017;10700;30/11/2018;12025
06/02/2014;14550;;06/02/2014;14550;24/04/2015;13525;01/08/2016;10000;09/10/2017;10575;03/12/2018;11600
07/02/2014;14950;;07/02/2014;14950;27/04/2015;13325;02/08/2016;9900;10/10/2017;10650;04/12/2018;11775
10/02/2014;15075;;10/02/2014;15075;28/04/2015;13225;03/08/2016;10175;11/10/2017;10450;05/12/2018;11775
11/02/2014;15100;;11/02/2014;15100;29/04/2015;12975;04/08/2016;10125;12/10/2017;10750;06/12/2018;11875
12/02/2014;15100;;12/02/2014;15100;30/04/2015;12500;05/08/2016;10350;13/10/2017;10850;07/12/2018;11875
13/02/2014;15100;;13/02/2014;15100;04/05/2015;12725;08/08/2016;10775;16/10/2017;10900;10/12/2018;11950
14/02/2014;14850;;14/02/2014;14850;05/05/2015;13000;09/08/2016;11600;17/10/2017;10850;11/12/2018;11600
17/02/2014;15225;;17/02/2014;15225;06/05/2015;13100;10/08/2016;11400;18/10/2017;10825;12/12/2018;11600
18/02/2014;15000;;18/02/2014;15000;07/05/2015;12875;11/08/2016;11075;19/10/2017;10500;13/12/2018;11600
19/02/2014;15000;;19/02/2014;15000;08/05/2015;13325;12/08/2016;11000;20/10/2017;10425;14/12/2018;11425
20/02/2014;15100;;20/02/2014;15100;11/05/2015;13275;15/08/2016;10900;23/10/2017;10550;17/12/2018;11400
21/02/2014;15075;;21/02/2014;15075;12/05/2015;13225;16/08/2016;11050;24/10/2017;10725;18/12/2018;11375
24/02/2014;14900;;24/02/2014;14900;13/05/2015;13025;18/08/2016;11225;25/10/2017;10875;19/12/2018;11500
25/02/2014;14650;;25/02/2014;14650;15/05/2015;13300;19/08/2016;11100;26/10/2017;11025;20/12/2018;11475
26/02/2014;14375;;26/02/2014;14375;18/05/2015;13375;22/08/2016;11150;27/10/2017;10775;21/12/2018;11500
27/02/2014;14450;;27/02/2014;14450;19/05/2015;13325;23/08/2016;10775;30/10/2017;10775;24/12/2018;11500
28/02/2014;15000;;28/02/2014;15000;20/05/2015;13150;24/08/2016;10400;31/10/2017;10900;25/12/2018;11500
03/03/2014;14700;;03/03/2014;14700;21/05/2015;13200;25/08/2016;10425;01/11/2017;10500;26/12/2018;11550
04/03/2014;14700;;04/03/2014;14700;22/05/2015;13125;26/08/2016;10500;02/11/2017;10425;27/12/2018;11675
05/03/2014;14875;;05/03/2014;14875;25/05/2015;13150;29/08/2016;10400;03/11/2017;10375;28/12/2018;11500
06/03/2014;15100;;06/03/2014;15100;26/05/2015;13250;30/08/2016;10100;06/11/2017;10300;31/12/2018;11500
07/03/2014;15300;;07/03/2014;15300;27/05/2015;13175;31/08/2016;9900;07/11/2017;10325;01/01/2019;11500
10/03/2014;15300;;10/03/2014;15300;28/05/2015;13350;01/09/2016;9800;08/11/2017;10500;02/01/2019;11475
11/03/2014;15450;;11/03/2014;15450;29/05/2015;13450;02/09/2016;10000;09/11/2017;10100;03/01/2019;11525
12/03/2014;15125;;12/03/2014;15125;01/06/2015;13475;05/09/2016;10150;10/11/2017;10000;04/01/2019;11500
13/03/2014;15100;;13/03/2014;15100;03/06/2015;13300;06/09/2016;10200;13/11/2017;10000;07/01/2019;11400
14/03/2014;16000;;14/03/2014;16000;04/06/2015;13250;07/09/2016;10050;14/11/2017;9900;08/01/2019;11300
17/03/2014;16500;;17/03/2014;16500;05/06/2015;13225;08/09/2016;10050;15/11/2017;9850;09/01/2019;11200
18/03/2014;16075;;18/03/2014;16075;08/06/2015;12975;09/09/2016;10050;16/11/2017;9950;10/01/2019;11925
19/03/2014;16000;;19/03/2014;16000;09/06/2015;12575;13/09/2016;9850;17/11/2017;9900;11/01/2019;11575
20/03/2014;15300;;20/03/2014;15300;10/06/2015;12825;14/09/2016;9700;20/11/2017;9975;14/01/2019;11575
21/03/2014;15400;;21/03/2014;15400;11/06/2015;12650;15/09/2016;9950;21/11/2017;9975;15/01/2019;11800
24/03/2014;15750;;24/03/2014;15750;12/06/2015;12525;16/09/2016;9900;22/11/2017;9900;16/01/2019;11925
25/03/2014;15750;;25/03/2014;15750;15/06/2015;12300;19/09/2016;10125;23/11/2017;10050;17/01/2019;12425
26/03/2014;15700;;26/03/2014;15700;16/06/2015;12150;20/09/2016;10000;24/11/2017;10150;18/01/2019;12700
27/03/2014;15700;;27/03/2014;15700;17/06/2015;12400;21/09/2016;9825;27/11/2017;10025;21/01/2019;12975
28/03/2014;15800;;28/03/2014;15800;18/06/2015;12300;22/09/2016;10100;28/11/2017;10000;22/01/2019;13075
01/04/2014;16500;;01/04/2014;16500;19/06/2015;12425;23/09/2016;10400;29/11/2017;9900;23/01/2019;12975
02/04/2014;16600;;02/04/2014;16600;22/06/2015;12350;26/09/2016;10400;30/11/2017;9400;24/01/2019;13200
03/04/2014;17000;;03/04/2014;17000;23/06/2015;12250;27/09/2016;10450;01/12/2017;9400;25/01/2019;13200
04/04/2014;16625;;04/04/2014;16625;24/06/2015;12300;28/09/2016;10500;04/12/2017;9600;28/01/2019;13075
07/04/2014;16850;;07/04/2014;16850;25/06/2015;12100;29/09/2016;10575;05/12/2017;9350;29/01/2019;12875
08/04/2014;16800;;08/04/2014;16800;26/06/2015;12075;30/09/2016;10100;06/12/2017;9375;30/01/2019;12550
