,I,Z,C,O,F,I_in,C_bar,h,W
0,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.2847830900258359]","[0.37269340125248035, 0.8885080032444014, -0.1502987206663298, 0.9014020756910257]",[0.46451842523967446],[0.7110631074875151],[0.46259070655089407],[0.7086100481563522],[0.35652452472566387],[0.30849548758307194],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
1,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.2985522936338091]","[0.3601413934695886, 0.8957669412417991, -0.1481311256730219, 0.8770917566028944]",[0.4603940293385354],[0.7061265954707442],[0.46308462486439944],[0.7100934332746812],[0.34543357311324774],[0.3039548661911397],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
2,"[1.0, 0.000990687772560424, 0.19648093841642228, 0.2987416661071017]","[0.3551190510125003, 0.897635334793241, -0.14896719042002327, 0.8724780417192366]",[0.45533151757567425],[0.7052122022813893],[0.462853166644967],[0.7104710053245449],[0.34095774812791885],[0.30063010420092406],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
3,"[1.0, 0.0009907372772462405, 0.2126099706744868, 0.2978715105305312]","[0.3644322577963816, 0.8923834201745386, -0.1503553912692303, 0.8898546613509679]",[0.45826078027678563],[0.7088344470788239],[0.4624957263878939],[0.709385866869561],[0.3491385597194645],[11905.856807189575],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
4,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.2819016609210613]","[0.3678317547157165, 0.890482034824448, -0.1508358587873999, 0.8961191405079454]",[0.46040122380506626],[0.7099780302764745],[0.4624563503398491],[0.7090172393310288],[0.35227193963355447],[0.3056471691207352],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
5,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.2957373587600771]","[0.3730424698933864, 0.8887375383386603, -0.1496497761295719, 0.899949065334707]",[0.46582795825911094],[0.710847614935151],[0.46270688744062793],[0.7086441721889554],[0.3567438911837101],[0.3091263815541941],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
6,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.30394424285556837]","[0.3602816434997207, 0.8958591646618194, -0.14787039044742828, 0.8765079609754016]",[0.4610828427205561],[0.7060495736550273],[0.46312570653676727],[0.7101054609066128],[0.34551182013900783],[0.3043015516208762],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
7,"[1.0, 0.000990687772560424, 0.19648093841642228, 0.30157564299980216]","[0.355194912972731, 0.8976852189138742, -0.14882615739995103, 0.8721622636717448]",[0.4556955131198528],[0.7051698086566592],[0.46287573974583573],[0.7104776096159121],[0.34100089660672206],[11853.868644247052],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
8,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.2861688111608335]","[0.37377682761756653, 0.8881861876451941, -0.14998437531794928, 0.9019955496811929]",[0.46736097682265965],[0.7111850341219028],[0.4626688473249773],[0.7085435926700496],[0.3574698590136258],[0.31018797378559426],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
9,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.3001728003736612]","[0.36924687725181415, 0.8914125689562679, -0.14820504085927041, 0.8902286437418294]",[0.46706150985762696],[0.7088446337783642],[0.46306658223767505],[0.709196317992555],[0.35342782257999816],[0.308964532518926],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
