0,1,2,3
0.08561255037865252,0.8500315173380604,2.5664610107872523,-0.482840053104736
1.384802495825629,0.8573573953934324,1.3438494805664127,-0.06756585724101077
-1.4354902400852145,-0.2503301608176746,0.1251616172693299,-0.3052677163466332
-0.9069902295087507,-0.33324042152124195,3.9300654474671277,-0.45406663101145406
,subject_index,Date,Close
0,0,2015-12-02,359.187012
1,0,2015-12-03,361.04599
2,0,2015-12-04,363.183014
3,0,2015-12-05,388.949005
4,0,2015-12-06,388.78299
5,0,2015-12-07,395.536011
6,0,2015-12-08,415.562988
7,0,2015-12-09,417.562988
8,0,2015-12-10,415.479004
9,0,2015-12-11,451.937988
10,0,2015-12-12,434.997009
11,0,2015-12-13,433.755005
12,0,2015-12-14,444.182007
13,0,2015-12-15,465.321014
14,0,2015-12-16,454.93399
15,0,2015-12-17,456.078003
16,0,2015-12-18,463.615997
17,0,2015-12-19,462.321991
18,0,2015-12-20,442.684998
19,0,2015-12-21,438.639008
20,0,2015-12-22,436.571991
21,0,2015-12-23,442.401001
22,0,2015-12-24,454.984985
23,0,2015-12-25,455.653015
24,0,2015-12-26,417.273987
25,0,2015-12-27,422.822998
26,0,2015-12-28,422.278992
27,0,2015-12-29,432.983002
28,0,2015-12-30,426.619995
29,0,2015-12-31,430.566986
30,0,2016-01-01,434.334015
31,0,2016-01-02,433.437988
32,0,2016-01-03,430.010986
33,0,2016-01-04,433.091003
34,0,2016-01-05,431.959991
35,0,2016-01-06,429.105011
36,0,2016-01-07,458.048004
37,0,2016-01-08,453.230011
38,0,2016-01-09,447.610992
39,0,2016-01-10,447.990997
40,0,2016-01-11,448.428009
41,0,2016-01-12,435.690002
42,0,2016-01-13,432.371002
43,0,2016-01-14,430.306
44,0,2016-01-15,364.330994
45,0,2016-01-16,387.536011
46,0,2016-01-17,382.299011
47,0,2016-01-18,387.167999
48,0,2016-01-19,380.148987
49,0,2016-01-20,420.230011
50,0,2016-01-21,410.261993
51,0,2016-01-22,382.492004
52,0,2016-01-23,387.490997
53,0,2016-01-24,402.971008
54,0,2016-01-25,391.726013
55,0,2016-01-26,392.153015
56,0,2016-01-27,394.971985
57,0,2016-01-28,380.289001
58,0,2016-01-29,379.473999
59,0,2016-01-30,378.255005
60,0,2016-01-31,368.766998
61,0,2016-02-01,373.056
62,0,2016-02-02,374.447998
63,0,2016-02-03,369.949005
64,0,2016-02-04,389.593994
65,0,2016-02-05,386.549011
66,0,2016-02-06,376.522003
67,0,2016-02-07,376.619995
68,0,2016-02-08,373.446991
69,0,2016-02-09,376.028992
