,I,Z,C,O,F,I_in,C_bar,h,W
0,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.22965151515331464]","[0.2922081002320009, 0.878113108996985, -0.16913157848906302, 0.9300268131229217]",[0.36480803221998753],[0.7169385474854135],[0.45789552469432704],[0.706454058382388],[0.28431237078433474],[0.25057981101065413],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
1,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.24226977597633975]","[0.2798206917766404, 0.8853957208097089, -0.16691299019564806, 0.9055972352367456]",[0.3603664105783223],[0.7120231943946697],[0.4584091427301548],[0.7079510980415228],[0.27281631227785547],[0.24605707740504273],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
2,"[1.0, 0.000990687772560424, 0.19648093841642228, 0.24171754846207527]","[0.27488678830170876, 0.8872631955464088, -0.16775925747625442, 0.901013165678405]",[0.355088841756945],[0.7111182007875992],[0.45817963300064135],[0.7083313515396534],[0.2682066654403092],[0.2424207411438077],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
3,"[1.0, 0.0009907372772462405, 0.2126099706744868, 0.24013653236978896]","[0.28404669479087463, 0.8819753939099357, -0.16923701525847223, 0.9185932345374346]",[0.35822798449571575],[0.7147347284825323],[0.45780270302103837],[0.7072347236098783],[0.2766675119057196],[10912.951441775693],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
4,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.2268244230663337]","[0.287438167980995, 0.8800946715368734, -0.16965456255579048, 0.9247172561420934]",[0.3605047065692413],[0.7158613084476686],[0.45776488327968284],[0.7068645766903675],[0.27992053233256353],[0.24749457379658255],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
5,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.23923326108218304]","[0.2925322706553697, 0.878338712827015, -0.16849282513210553, 0.9285931990912122]",[0.3661363684629525],[0.7167157670864461],[0.45801671119277554],[0.7064898102868448],[0.28454005922359804],[0.25131273075986],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
6,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.24700586940621003]","[0.2799579760395067, 0.8854912627014818, -0.1666424819153058, 0.9049901081474423]",[0.3610629521159387],[0.7119347864147576],[0.4584567281235624],[0.7079650919415431],[0.2729063253847145],[0.24645021264902786],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
7,"[1.0, 0.000990687772560424, 0.19648093841642228, 0.24419542571147224]","[0.2749599043319455, 0.8873140800666145, -0.1676151878560967, 0.9006898167257122]",[0.35545489137695724],[0.7110706952636462],[0.4582051554440433],[0.708338852111635],[0.2682550788158796],[10861.803483845415],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
8,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.2314743749639897]","[0.29333464220690564, 0.8778368291343404, -0.16868657442527824, 0.9303249001528823]",[0.3677209553500276],[0.7169982513688177],[0.45800641969006933],[0.706396888298165],[0.2853483279305018],[0.2524329757184231],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
9,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.2440280986479269]","[0.28881254389989036, 0.8810511575357548, -0.16694645851967002, 0.9186392044133261]",[0.3673241416982844],[0.7146890979822036],[0.4584013192992137],[0.7070521643734936],[0.2811192375023211],[0.25134692434084027],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
