,0
0,0.0
1,-0.02244091187737546
2,-0.02375783306530004
3,-0.024733720310913268
4,-0.025106033991236988
5,-0.025602588901264444
6,-0.025393095918791894
7,-0.025580455407451592
8,-0.025542496974482076
9,-0.02582770382560244
10,-0.02550892067005996
11,-0.025640267757448588
12,-0.025573286231287653
13,-0.02584357284731472
14,-0.025517082564515094
15,-0.025644481801370647
16,-0.025575455263547216
17,-0.025844690728084575
18,-0.025517657508212808
19,-0.02564477864495856
20,-0.02557560805241467
21,-0.025844769472483733
22,-0.025517698007626138
23,-0.025644799554797273
24,-0.025575618814948194
25,-0.025844775019282017
26,-0.02551770086042647
27,-0.0256448010276974
28,-0.025575619573066737
29,-0.025844775410001408
30,-0.025517701061379225
31,-0.02564480113144926
32,-0.025575619626469002
