,I,Z,C,O,F,I_in,C_bar,h,W
0,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.23018033933922433]","[0.2927805327942471, 0.8816648860601242, -0.1638940875030176, 0.9311694862136608]",[0.36665406322819727],[0.7171603359840142],[0.4592020482529431],[0.7071920453094592],[0.2848578282031265],[0.2518247988728409],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
1,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.2431173256255483]","[0.28023727907735, 0.8888925433593822, -0.1617060419374668, 0.9066282772728216]",[0.36216547970807833],[0.712228607027798],[0.4597057202813437],[0.7086746944194171],[0.27321276010012474],[0.24725910076363367],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
2,"[1.0, 0.000990687772560424, 0.19648093841642228, 0.24267541139769191]","[0.2751986846179136, 0.8907295060918897, -0.16258674951779384, 0.9020350579552738]",[0.3567801828803585],[0.7113246112627233],[0.4594660480159816],[0.7090476156305096],[0.26850220958191023],[0.2435556970036938],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
3,"[1.0, 0.0009907372772462405, 0.2126099706744868, 0.24112333921232343]","[0.28448166122402174, 0.8854857014466949, -0.16403265363028177, 0.9196783680066922]",[0.35995121222328297],[0.7149539234473928],[0.45909599434208637],[0.7079613896329789],[0.27707254057498537],[10932.76846633626],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
4,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.22734332300771287]","[0.28791560149267265, 0.8836177152103729, -0.16444855589520774, 0.9258494914288732]",[0.3622720715809816],[0.7160815995764035],[0.4590634616835454],[0.7075959914872454],[0.28037971821768837],[0.24869036166322975],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
5,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.24003375664315474]","[0.29313236328535547, 0.8818996829430239, -0.16323351735820255, 0.9296977327857501]",[0.36802716177260103],[0.7169341107123908],[0.45932610342884034],[0.7072288058736867],[0.2851022436613213],[0.2525807928682459],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
6,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.2480322065571679]","[0.2803883969031956, 0.8889933930451139, -0.16142231461244588, 0.9059961314417255]",[0.3628913162539322],[0.7121376285789137],[0.4597550798558639],[0.7086892747225031],[0.27331068161797795],[0.2476676257966888],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
7,"[1.0, 0.000990687772560424, 0.19648093841642228, 0.24526702176949486]","[0.27527976601198884, 0.8907836164065759, -0.16243451726510483, 0.9016958837714386]",[0.3571647160914735],[0.7112753615314786],[0.4594927187012245],[0.7090554886592483],[0.26855527117832295],[10881.323014403028],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
8,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.2321029995075957]","[0.29394994034821015, 0.8814053424886136, -0.16341402498275664, 0.9314111579275852]",[0.3696960341371396],[0.7172085013524275],[0.45932173910419355],[0.7071384383165845],[0.28593291702137996],[0.2537532232004286],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
9,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.24494437580335718]","[0.2893948855004159, 0.8846049271852289, -0.16167116486198815, 0.9196614509824894]",[0.36930863796767477],[0.7148914986542295],[0.45971491612700327],[0.7077888617107654],[0.2816664636725711],[0.2526639258076999],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
