Date;Time;Global_active_power
16/12/2006;17:24:00;4.216
16/12/2006;17:25:00;5.36
16/12/2006;17:26:00;5.374
16/12/2006;17:27:00;5.388
16/12/2006;17:28:00;3.666
16/12/2006;17:29:00;3.52
16/12/2006;17:30:00;3.702
16/12/2006;17:31:00;3.7
16/12/2006;17:32:00;3.668
16/12/2006;17:33:00;3.662
16/12/2006;17:34:00;4.448
16/12/2006;17:35:00;5.412
16/12/2006;17:36:00;5.224
16/12/2006;17:37:00;5.268
16/12/2006;17:38:00;4.054
16/12/2006;17:39:00;3.384
16/12/2006;17:40:00;3.27
16/12/2006;17:41:00;3.43
16/12/2006;17:42:00;3.266
16/12/2006;17:43:00;3.728
16/12/2006;17:44:00;5.894
16/12/2006;17:45:00;7.706
16/12/2006;17:46:00;7.026
16/12/2006;17:47:00;5.174
16/12/2006;17:48:00;4.474
16/12/2006;17:49:00;3.248
16/12/2006;17:50:00;3.236
16/12/2006;17:51:00;3.228
16/12/2006;17:52:00;3.258
16/12/2006;17:53:00;3.178
16/12/2006;17:54:00;2.72
16/12/2006;17:55:00;3.758
16/12/2006;17:56:00;4.342
16/12/2006;17:57:00;4.512
16/12/2006;17:58:00;4.058
16/12/2006;17:59:00;2.472
16/12/2006;18:00:00;2.79
16/12/2006;18:01:00;2.624
16/12/2006;18:02:00;2.772
16/12/2006;18:03:00;3.74
16/12/2006;18:04:00;4.928
16/12/2006;18:05:00;6.052
16/12/2006;18:06:00;6.752
16/12/2006;18:07:00;6.474
16/12/2006;18:08:00;6.308
16/12/2006;18:09:00;4.464
16/12/2006;18:10:00;3.396
16/12/2006;18:11:00;3.09
16/12/2006;18:12:00;3.73
16/12/2006;18:13:00;2.308
16/12/2006;18:14:00;2.388
16/12/2006;18:15:00;4.598
16/12/2006;18:16:00;4.524
16/12/2006;18:17:00;4.202
16/12/2006;18:18:00;4.472
16/12/2006;18:19:00;2.852
16/12/2006;18:20:00;2.928
16/12/2006;18:21:00;2.94
16/12/2006;18:22:00;2.934
16/12/2006;18:23:00;2.926
16/12/2006;18:24:00;3.452
16/12/2006;18:25:00;4.87
16/12/2006;18:26:00;4.868
16/12/2006;18:27:00;4.866
16/12/2006;18:28:00;3.176
16/12/2006;18:29:00;2.92
16/12/2006;18:30:00;2.93
16/12/2006;18:31:00;2.912
16/12/2006;18:32:00;2.608
16/12/2006;18:33:00;2.714
16/12/2006;18:34:00;3.538
16/12/2006;18:35:00;6.072
16/12/2006;18:36:00;4.536
16/12/2006;18:37:00;4.408
16/12/2006;18:38:00;2.912
16/12/2006;18:39:00;2.326
16/12/2006;18:40:00;2.264
16/12/2006;18:41:00;2.27
16/12/2006;18:42:00;2.258
16/12/2006;18:43:00;2.188
16/12/2006;18:44:00;2.978
16/12/2006;18:45:00;4.2
16/12/2006;18:46:00;4.204
16/12/2006;18:47:00;4.218
16/12/2006;18:48:00;2.786
16/12/2006;18:49:00;2.54
16/12/2006;18:50:00;2.496
16/12/2006;18:51:00;2.336
16/12/2006;18:52:00;2.322
16/12/2006;18:53:00;2.448
16/12/2006;18:54:00;4.298
16/12/2006;18:55:00;4.23
16/12/2006;18:56:00;4.23
16/12/2006;18:57:00;3.924
16/12/2006;18:58:00;4.218
16/12/2006;18:59:00;4.224
16/12/2006;19:00:00;4.07
16/12/2006;19:01:00;3.612
16/12/2006;19:02:00;3.458
16/12/2006;19:03:00;3.434
16/12/2006;19:04:00;3.366
16/12/2006;19:05:00;3.404
16/12/2006;19:06:00;3.382
16/12/2006;19:07:00;3.616
16/12/2006;19:08:00;3.476
16/12/2006;19:09:00;3.394
16/12/2006;19:10:00;3.4
16/12/2006;19:11:00;3.414
16/12/2006;19:12:00;3.432
16/12/2006;19:13:00;3.418
16/12/2006;19:14:00;3.392
16/12/2006;19:15:00;3.394
16/12/2006;19:16:00;3.394
16/12/2006;19:17:00;3.406
16/12/2006;19:18:00;3.42
16/12/2006;19:19:00;3.418
16/12/2006;19:20:00;3.422
16/12/2006;19:21:00;3.332
16/12/2006;19:22:00;3.316
16/12/2006;19:23:00;3.334
16/12/2006;19:24:00;3.262
16/12/2006;19:25:00;3.476
16/12/2006;19:26:00;3.62
16/12/2006;19:27:00;3.61
16/12/2006;19:28:00;3.646
16/12/2006;19:29:00;3.614
16/12/2006;19:30:00;3.408
16/12/2006;19:31:00;3.388
16/12/2006;19:32:00;3.372
16/12/2006;19:33:00;3.37
16/12/2006;19:34:00;3.342
16/12/2006;19:35:00;3.284
16/12/2006;19:36:00;3.276
16/12/2006;19:37:00;3.382
16/12/2006;19:38:00;3.418
16/12/2006;19:39:00;3.396
16/12/2006;19:40:00;3.406
16/12/2006;19:41:00;3.406
16/12/2006;19:42:00;3.392
16/12/2006;19:43:00;3.378
16/12/2006;19:44:00;3.368
16/12/2006;19:45:00;3.35
16/12/2006;19:46:00;3.352
16/12/2006;19:47:00;3.364
16/12/2006;19:48:00;3.38
16/12/2006;19:49:00;3.404
16/12/2006;19:50:00;3.378
16/12/2006;19:51:00;3.388
16/12/2006;19:52:00;3.376
16/12/2006;19:53:00;3.254
16/12/2006;19:54:00;3.214
16/12/2006;19:55:00;3.202
16/12/2006;19:56:00;3.202
16/12/2006;19:57:00;3.212
16/12/2006;19:58:00;3.206
16/12/2006;19:59:00;3.214
16/12/2006;20:00:00;3.206
16/12/2006;20:01:00;3.222
16/12/2006;20:02:00;3.216
16/12/2006;20:03:00;3.216
16/12/2006;20:04:00;3.194
16/12/2006;20:05:00;3.278
16/12/2006;20:06:00;3.282
16/12/2006;20:07:00;3.292
16/12/2006;20:08:00;3.316
16/12/2006;20:09:00;3.37
16/12/2006;20:10:00;3.42
16/12/2006;20:11:00;3.41
16/12/2006;20:12:00;3.4
16/12/2006;20:13:00;3.4
16/12/2006;20:14:00;3.388
16/12/2006;20:15:00;3.37
16/12/2006;20:16:00;3.332
16/12/2006;20:17:00;3.31
16/12/2006;20:18:00;3.312
16/12/2006;20:19:00;3.314
16/12/2006;20:20:00;3.302
16/12/2006;20:21:00;3.302
16/12/2006;20:22:00;3.3
16/12/2006;20:23:00;3.29
16/12/2006;20:24:00;3.286
16/12/2006;20:25:00;3.23
16/12/2006;20:26:00;3.218
16/12/2006;20:27:00;3.258
16/12/2006;20:28:00;3.264
16/12/2006;20:29:00;3.26
16/12/2006;20:30:00;3.262
16/12/2006;20:31:00;3.264
16/12/2006;20:32:00;3.238
16/12/2006;20:33:00;3.228
16/12/2006;20:34:00;3.222
16/12/2006;20:35:00;3.226
16/12/2006;20:36:00;3.206
16/12/2006;20:37:00;3.188
16/12/2006;20:38:00;3.196
16/12/2006;20:39:00;3.204
16/12/2006;20:40:00;3.232
16/12/2006;20:41:00;3.254
16/12/2006;20:42:00;3.376
16/12/2006;20:43:00;3.372
16/12/2006;20:44:00;3.366
16/12/2006;20:45:00;3.386
16/12/2006;20:46:00;3.496
16/12/2006;20:47:00;3.426
16/12/2006;20:48:00;3.44
16/12/2006;20:49:00;3.44
